Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Dist,BldgCode,Address,Zip,City,Type,Address,Lat,Lon
J.H.S. 052 Inwood,Dist: 6<br>BldgCode: M052<br>Address: 650 ACADEMY STREET<br>Zip: 10034<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M052,650 ACADEMY STREET,10034,Manhattan,Feeding Site,"650 ACADEMY STREET Manhattan, NY 10034",40.8659143,-73.925157
P.S. 098 Shorac Kappock,Dist: 6<br>BldgCode: M098<br>Address: 512 WEST 212 STREET<br>Zip: 10034<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M098,512 WEST 212 STREET,10034,Manhattan,Feeding Site,"512 WEST 212 STREET Manhattan, NY 10034",40.8678429,-73.9176573
P.S. 115 Alexander Humboldt,Dist: 6<br>BldgCode: M115<br>Address: 586 WEST 177 STREET<br>Zip: 10033<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M115,586 WEST 177 STREET,10033,Manhattan,Feeding Site,"586 WEST 177 STREET Manhattan, NY 10033",40.8462428,-73.9350222
J.H.S. 143 Eleanor Roosevelt,Dist: 6<br>BldgCode: M143<br>Address: 511 WEST 182ND STREET<br>Zip: 10033<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M143,511 WEST 182ND STREET,10033,Manhattan,Feeding Site,"511 WEST 182ND STREET Manhattan, NY 10033",40.8490987,-73.9311063
P.S. 152 Dyckman Valley,Dist: 6<br>BldgCode: M152<br>Address: 93 NAGLE AVENUE<br>Zip: 10040<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M152,93 NAGLE AVENUE,10040,Manhattan,Feeding Site,"93 NAGLE AVENUE Manhattan, NY 10040",40.8601407,-73.9275778
P.S. 189,Dist: 6<br>BldgCode: M189<br>Address: 2580 AMSTERDAM AVENUE<br>Zip: 10040<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M189,2580 AMSTERDAM AVENUE,10040,Manhattan,Feeding Site,"2580 AMSTERDAM AVENUE Manhattan, NY 10040",40.8531056,-73.9279452
P.S. 192 Jacob H. Schiff,Dist: 6<br>BldgCode: M192<br>Address: 500 WEST 138 STREET<br>Zip: 10031<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M192,500 WEST 138 STREET,10031,Manhattan,Feeding Site,"500 WEST 138 STREET Manhattan, NY 10031",40.8210016,-73.9533407
I.S. 528 Bea Fuller Rodgers School,Dist: 6<br>BldgCode: M528<br>Address: 180 WADSWORTH AVENUE<br>Zip: 10033<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M528,180 WADSWORTH AVENUE,10033,Manhattan,Feeding Site,"180 WADSWORTH AVENUE Manhattan, NY 10033",40.8506712,-73.9346503
Paula Hedbavny School,Dist: 6<br>BldgCode: M918<br>Address: 421 W 219TH ST<br>Zip: 10034<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M918,421 W 219TH ST,10034,Manhattan,Feeding Site,"421 W 219TH ST Manhattan, NY 10034",40.8714909,-73.9122076
Middle School 322,Dist: 6<br>BldgCode: M218<br>Address: 4600 BROADWAY<br>Zip: 10040<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M218,4600 BROADWAY,10040,Manhattan,Feeding Site,"4600 BROADWAY Manhattan, NY 10040",40.8608456,-73.9301494
Community Health Academy of the Heig,Dist: 6<br>BldgCode: M814<br>Address: 504 WEST 158TH STREET<br>Zip: 10032<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M814,504 WEST 158TH STREET,10032,Manhattan,Feeding Site,"504 WEST 158TH STREET Manhattan, NY 10032",40.8336419,-73.9422627
PS 5 Port Morris,Dist: 7<br>BldgCode: X005<br>Address: 564 JACKSON AVENUE<br>Zip: 10455<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,7,X005,564 JACKSON AVENUE,10455,Bronx,Feeding Site,"564 JACKSON AVENUE Bronx, NY 10455",40.8135432,-73.9085228
P.S. 018 John Peter Zenger,Dist: 7<br>BldgCode: X018<br>Address: 502 MORRIS AVENUE<br>Zip: 10451<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,7,X018,502 MORRIS AVENUE,10451,Bronx,Feeding Site,"502 MORRIS AVENUE Bronx, NY 10451",40.8162658,-73.9225258
South Bronx Preparatory: A College B,Dist: 7<br>BldgCode: X149<br>Address: 360 EAST 145 STREET<br>Zip: 10454<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,7,X149,360 EAST 145 STREET,10454,Bronx,Feeding Site,"360 EAST 145 STREET Bronx, NY 10454",40.8137231,-73.9206428
P.S. X014 Senator John Calandra,Dist: 8<br>BldgCode: X014<br>Address: 3047 BRUCKNER BOULEVARD<br>Zip: 10461<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X014,3047 BRUCKNER BOULEVARD,10461,Bronx,Feeding Site,"3047 BRUCKNER BOULEVARD Bronx, NY 10461",40.8358366,-73.8254453
P.S. 036 Unionport,Dist: 8<br>BldgCode: X036<br>Address: 1070 CASTLE HILL AVENUE<br>Zip: 10472<br>City: Bronx<br>Type: Feeding Site,,,,,,,-1,,,8,X036,1070 CASTLE HILL AVENUE,10472,Bronx,Feeding Site,"1070 CASTLE HILL AVENUE Bronx, NY 10472",40.8294156,-73.8503793
